"key","context","ar-SA","de-DE","es-ES","fi-FI","fr-FR","hu-HU","it-IT","ja-JP","ko-KR","ml-IN","nl-NL","pl-PL","pt-BR","pt-PT","ru-RU","sv-SE","uk-UA","zh-CN","zh-TW"
"Settings - Let It Rain FX","Settings dialog title bar. Product name must not be translated.","الإعدادات - Let It Rain FX","Einstellungen - Let It Rain FX","Configuración - Let It Rain FX","Asetukset - Let It Rain FX","Paramètres - Let It Rain FX","Beállítások - Let It Rain FX","Impostazioni - Let It Rain FX","設定 - Let It Rain FX","설정 - Let It Rain FX","ക്രമീകരണങ്ങൾ - Let It Rain FX","Instellingen - Let It Rain FX","Ustawienia - Let It Rain FX","Configurações - Let It Rain FX","Definições - Let It Rain FX","Параметры - Let It Rain FX","Inställningar - Let It Rain FX","Параметри - Let It Rain FX","设置 - Let It Rain FX","設定 - Let It Rain FX"
"Rain","Radio button. Selects falling rain as the particle type. Noun.","مطر","Regen","Lluvia","Sade","Pluie","Eső","Pioggia","雨","비","മഴ","Regen","Deszcz","Chuva","Chuva","Дождь","Regn","Дощ","雨","雨"
"Snow","Radio button, paired with Rain. Selects falling snow. Noun.","ثلج","Schnee","Nieve","Lumi","Neige","Hó","Neve","雪","눈","മഞ്ഞ്","Sneeuw","Śnieg","Neve","Neve","Снег","Snö","Сніг","雪","雪"
"Intensity","Label above the slider that sets how many particles fall. Noun.","الشدة","Intensität","Intensidad","Voimakkuus","Intensité","Erősség","Intensità","強さ","세기","തീവ്രത","Intensiteit","Intensywność","Intensidade","Intensidade","Интенсивность","Intensitet","Інтенсивність","强度","強度"
"Low","Left end of the Intensity slider. Adjective agreeing with Intensity.","منخفضة","Niedrig","Baja","Heikko","Faible","Gyenge","Bassa","弱","약함","കുറഞ്ഞത്","Laag","Mała","Baixa","Baixa","Низкая","Låg","Низька","弱","弱"
"High","Right end of the Intensity slider. Adjective agreeing with Intensity.","عالية","Hoch","Alta","Voimakas","Élevée","Erős","Alta","強","강함","കൂടിയത്","Hoog","Duża","Alta","Alta","Высокая","Hög","Висока","强","強"
"Wind Direction","Label above the slider that blows particles sideways. Noun.","اتجاه الرياح","Windrichtung","Dirección del viento","Tuulen suunta","Direction du vent","Szélirány","Direzione del vento","風向き","바람 방향","കാറ്റിന്റെ ദിശ","Windrichting","Kierunek wiatru","Direção do vento","Direção do vento","Направление ветра","Vindriktning","Напрямок вітру","风向","風向"
"Left","Left end of the Wind Direction slider. Direction, not the verb 'to leave'.","يسار","Links","Izquierda","Vasen","Gauche","Balra","Sinistra","左","왼쪽","ഇടത്","Links","W lewo","Esquerda","Esquerda","Влево","Vänster","Ліворуч","左","左"
"Right","Right end of the Wind Direction slider. Direction, not 'correct' or 'a right'.","يمين","Rechts","Derecha","Oikea","Droite","Jobbra","Destra","右","오른쪽","വലത്","Rechts","W prawo","Direita","Direita","Вправо","Höger","Праворуч","右","右"
"Simplified snow heap","Checkbox. Draws the snow that settles on the taskbar the cheap way. 'Heap' = the pile of settled snow, not a data structure.","كومة ثلج مبسطة","Vereinfachter Schneehaufen","Montón de nieve simplificado","Yksinkertaistettu lumikasa","Tas de neige simplifié","Egyszerűsített hókupac","Cumulo di neve semplificato","積雪を簡略化","쌓인 눈 간략화","ലളിതമായ മഞ്ഞുകൂമ്പാരം","Vereenvoudigde sneeuwhoop","Uproszczone nagromadzenie śniegu","Monte de neve simplificado","Monte de neve simplificado","Упрощённое скопление снега","Förenklad snöhög","Спрощене скупчення снігу","简化积雪","簡化積雪"
"Change Particle Color","Push button. Opens the colour picker for the raindrops/snowflakes. Command.","تغيير لون الجسيمات","Partikelfarbe ändern","Cambiar el color de las partículas","Vaihda hiukkasten väri","Modifier la couleur des particules","Részecskeszín módosítása","Cambia colore delle particelle","パーティクルの色を変更","입자 색 변경","കണികകളുടെ നിറം മാറ്റുക","Deeltjeskleur wijzigen","Zmień kolor cząstek","Alterar a cor das partículas","Alterar a cor das partículas","Изменить цвет частиц","Ändra partikelfärg","Змінити колір часток","更改粒子颜色","變更粒子色彩"
"Hide behind windows","Checkbox. Lets the effect fall behind other application windows. Lowercase 'windows' = app windows, NOT the operating system.","الإخفاء خلف النوافذ","Hinter Fenstern verbergen","Ocultar detrás de las ventanas","Piilota ikkunoiden taakse","Masquer derrière les fenêtres","Elrejtés az ablakok mögé","Nascondi dietro le finestre","ウィンドウの背面に隠す","창 뒤에 숨기기","വിൻഡോകൾക്ക് പിന്നിൽ മറയ്ക്കുക","Achter vensters verbergen","Ukryj za oknami","Ocultar atrás das janelas","Ocultar por trás das janelas","Скрывать за окнами","Dölj bakom fönster","Ховати за вікнами","隐藏在窗口后面","隱藏在視窗後面"
"Start with Windows","Checkbox. Run the app at sign-in. 'Windows' = the operating system, never translated. Reused verbatim from MinClock.","التشغيل عند بدء Windows","Mit Windows starten","Iniciar con Windows","Käynnistä Windowsin mukana","Démarrer avec Windows","Indítás a Windowsszal","Avvia con Windows","Windows 起動時に実行","Windows 시작 시 실행","Windows-നൊപ്പം ആരംഭിക്കുക","Starten met Windows","Uruchamiaj z systemem Windows","Iniciar com o Windows","Iniciar com o Windows","Запускать вместе с Windows","Starta med Windows","Запускати разом із Windows","随 Windows 启动","隨 Windows 啟動"
"About - Let It Rain FX","About dialog title bar. Product name must not be translated.","حول - Let It Rain FX","Über - Let It Rain FX","Acerca de - Let It Rain FX","Tietoja - Let It Rain FX","À propos - Let It Rain FX","Névjegy - Let It Rain FX","Informazioni - Let It Rain FX","バージョン情報 - Let It Rain FX","정보 - Let It Rain FX","ആപ്പിനെക്കുറിച്ച് - Let It Rain FX","Over - Let It Rain FX","Informacje - Let It Rain FX","Sobre - Let It Rain FX","Acerca de - Let It Rain FX","О программе - Let It Rain FX","Om - Let It Rain FX","Про програму - Let It Rain FX","关于 - Let It Rain FX","關於 - Let It Rain FX"
"Report issues or send feedback to","About dialog. Sits directly above the e-mail address link. Reused verbatim from MinClock.","للإبلاغ عن المشكلات أو إرسال الملاحظات إلى","Probleme melden oder Feedback senden an","Informar de problemas o enviar comentarios a","Ilmoita ongelmista tai lähetä palautetta osoitteeseen","Signaler un problème ou envoyer vos commentaires à","Hibák jelentése vagy visszajelzés küldése ide","Segnala problemi o invia commenti a","問題の報告やフィードバックの送信先","문제 신고 또는 피드백 보내기:","പ്രശ്നങ്ങൾ അറിയിക്കാനോ അഭിപ്രായം അയയ്ക്കാനോ ബന്ധപ്പെടുക:","Problemen melden of feedback sturen naar","Zgłoś problem lub wyślij opinię na adres","Relatar problemas ou enviar comentários para","Comunicar problemas ou enviar comentários para","Сообщить о проблеме или отправить отзыв на","Rapportera problem eller skicka feedback till","Повідомити про проблему або надіслати відгук на","报告问题或发送反馈至","回報問題或傳送意見至"
"Support","About dialog button, opens GitHub Sponsors. Means 'support the developer financially' - NOT technical support or help. The heart glyph is drawn by the app and is not part of this string.","ادعمنا","Unterstützen","Apoyar","Tue","Soutenir","Támogatás","Sostieni","支援する","후원","പിന്തുണയ്ക്കുക","Steunen","Wesprzyj","Apoiar","Apoiar","Поддержать","Stöd","Підтримати","赞助","贊助"
"Other apps","About dialog heading above the list of the author's other apps. Reused verbatim from MinClock.","تطبيقات أخرى","Weitere Apps","Otras aplicaciones","Muut sovellukset","Autres applications","További alkalmazások","Altre app","その他のアプリ","다른 앱","മറ്റ് ആപ്പുകൾ","Andere apps","Inne aplikacje","Outros aplicativos","Outras aplicações","Другие приложения","Andra appar","Інші застосунки","其他应用","其他應用程式"
"Fast, lightweight, and minimalist photo viewer designed for the modern Windows","About dialog. One-line description of FlyPhotos, another app by the same author. Reused verbatim from MinClock.","عارض صور سريع وخفيف وبسيط مصمم لنظام Windows الحديث","Schneller, schlanker und minimalistischer Fotobetrachter für das moderne Windows","Visor de fotos rápido, ligero y minimalista diseñado para el Windows moderno","Nopea, kevyt ja pelkistetty kuvakatselin nykyaikaiselle Windowsille","Visionneuse de photos rapide, légère et minimaliste conçue pour le Windows moderne","Gyors, könnyű és minimalista fényképnézegető a modern Windowshoz","Visualizzatore di foto veloce, leggero e minimalista progettato per il Windows moderno","最新の Windows 向けに設計された、高速で軽量、ミニマルな写真ビューアー","최신 Windows를 위해 설계된 빠르고 가벼운 미니멀 사진 뷰어","ആധുനിക Windows-നായി രൂപകൽപ്പന ചെയ്ത വേഗതയേറിയ, ഭാരം കുറഞ്ഞ, ലളിതമായ ഫോട്ടോ വ്യൂവർ","Snelle, lichte en minimalistische fotoviewer ontworpen voor het moderne Windows","Szybka, lekka i minimalistyczna przeglądarka zdjęć zaprojektowana dla nowoczesnego systemu Windows","Visualizador de fotos rápido, leve e minimalista projetado para o Windows moderno","Visualizador de fotografias rápido, leve e minimalista concebido para o Windows moderno","Быстрый, легкий и минималистичный просмотрщик фотографий для современной версии Windows","Snabb, lätt och minimalistisk bildvisare utformad för det moderna Windows","Швидкий, легкий і мінімалістичний переглядач фотографій для сучасної версії Windows","专为现代 Windows 设计的快速、轻量、极简的照片查看器","專為現代 Windows 設計的快速、輕量、極簡的相片檢視器"
"Customizable, minimal, transparent desktop clock widgets for Windows","About dialog. One-line description of DeskTick, another app by the same author.","أدوات ساعة سطح مكتب قابلة للتخصيص وبسيطة وشفافة لنظام Windows","Anpassbare, minimalistische, transparente Desktop-Uhr-Widgets für Windows","Widgets de reloj de escritorio personalizables, minimalistas y transparentes para Windows","Mukautettavat, pelkistetyt ja läpinäkyvät työpöytäkellot Windowsille","Widgets d'horloge de bureau personnalisables, minimalistes et transparents pour Windows","Testreszabható, minimalista, átlátszó asztali óra widgetek Windowshoz","Widget orologio da scrivania personalizzabili, minimalisti e trasparenti per Windows","Windows 向けの、カスタマイズ可能でミニマルな透明デスクトップ時計ウィジェット","Windows를 위한 사용자 지정 가능하고 미니멀한 투명 데스크톱 시계 위젯","Windows-നായുള്ള ഇഷ്ടാനുസൃതമാക്കാവുന്ന, ലളിതവും സുതാര്യവുമായ ഡെസ്ക്ടോപ്പ് ക്ലോക്ക് വിജറ്റുകൾ","Aanpasbare, minimalistische, transparante bureaubladklok-widgets voor Windows","Konfigurowalne, minimalistyczne, przezroczyste widżety zegara na pulpit dla systemu Windows","Widgets de relógio de área de trabalho personalizáveis, minimalistas e transparentes para Windows","Widgets de relógio de ambiente de trabalho personalizáveis, minimalistas e transparentes para Windows","Настраиваемые минималистичные прозрачные виджеты часов на рабочем столе для Windows","Anpassningsbara, minimalistiska, transparenta skrivbordsklockor för Windows","Настроювані мінімалістичні прозорі віджети годинника на робочому столі для Windows","适用于 Windows 的可自定义极简透明桌面时钟小组件","適用於 Windows 的可自訂極簡透明桌面時鐘小工具"
"Configure","Tray context menu item. Opens the Settings dialog. Rendered with the established 'Settings' wording of each language so the item and the dialog it opens agree - see review note 1.","الإعدادات","Einstellungen","Configuración","Asetukset","Paramètres","Beállítások","Impostazioni","設定","설정","ക്രമീകരണങ്ങൾ","Instellingen","Ustawienia","Configurações","Definições","Параметры","Inställningar","Параметри","设置","設定"
"About","Tray context menu item. Opens the About dialog. Bare word, no product name after it.","حول","Über","Acerca de","Tietoja","À propos","Névjegy","Informazioni","バージョン情報","정보","ആപ്പിനെക്കുറിച്ച്","Over","Informacje","Sobre","Acerca de","О программе","Om","Про програму","关于","關於"
"Exit","Tray context menu item. Quits the app. Reused verbatim from MinClock.","إنهاء","Beenden","Salir","Lopeta","Quitter","Kilépés","Esci","終了","종료","പുറത്തുകടക്കുക","Afsluiten","Zakończ","Sair","Sair","Выход","Avsluta","Вихід","退出","結束"
